	bookNo	author	year	book
1099	5827	Bertrand Russell	1912	The Problems of Philosophy
1100	5830	Louisa May Alcott	1887	A Garland for Girls
1101	5883	Donald Keyhoe	2006	The Flying Saucers Are Real
1102	5890	Mary E. Blain	1969	Fire from Heaven
1103	5897	Anthony Trollope	1860	Castle Richmond
1104	5898	H. Rider Haggard	1887	Jess
1105	5950	Sir Walter Scott	1822	The Fortunes of Nigel
1106	5959	Sir Walter Scott	1823	Peveril of the Peak
1107	5971	George Barr McCutcheon	1906	Jane Cable
1108	6018	James Boswell	1784	The Journal of a Tour to the Hebrides
1109	6026	William Wood	2002	The Story of Lucy Gault
1110	6037	Thomas Dixon	2005	The New Policeman
1111	6050	William Morris	1889	The Roots of the Mountains
1112	6053	Fanny Burney	1778	Evelina
1113	6062	John Hay	1871	Pike County Ballads
1114	6066	Talbot Mundy	1916	King of the Khyber Rifles
1115	6073	Henry Rider Haggard	1921	Smith and the Pharaohs
1116	6086	Jane Porter	1810	The Scottish Chiefs
1117	6100	Eleanor H. Porter	1915	Pollyanna Grows Up
1118	6124	Samuel Richardson	1740	Pamela; or, Virtue Rewarded
1119	6137	Douglas Mawson	1982	Life, the Universe and Everything
1120	6308	Charles Kingsley	1925	Hypatia
1121	6308	Charles Kingsley	1853	Hypatia
1122	6310	William W. Walter	1959	The Mansion
1123	6315	Margaret Deland	1906	The Awakening of Helena Richie
1124	6317	Joshua Slocum	1900	Sailing Alone Around the World
1125	6354	Henry James	1909	Italian Hours
1126	6402	Isabel Lady Burton & W. H. Wilkins	1904	The Romance of Isabel, Lady Burton
1127	6406	Sir Walter Scott	1820	The Monastery
1128	6407	Sir Walter Scott	1820	The Abbot
1129	6424	H. G. Wells	1905	A Modern Utopia
1130	6435	Frederick Winslow Taylor	1911	The Principles of Scientific Management
1131	6444	Frank V. Webster	1910	The Boys of Bellwood School
1132	6450	J. Fenimore Cooper	1827	The Prairie
1133	6451	Arthur M. Winfield	1990	The Ghost from the Grand Banks
1134	6455	Jack London	1916	The Little Lady of the Big House
1135	6456	Walter Lippmann	1922	Public Opinion
1136	6474	Margaret Deland	1999	The Iron Woman
1137	6474	Margaret Deland	1911	The Iron Woman
1138	6490	Sir Walter Scott	1825	The Betrothed
1139	6490	Sir Walter Scott	1827	The Betrothed
1140	6491	Frances Hodgson Burnett	1922	The Head of the House of Coombe
1141	6578	Harold MacGrath	1848	The Communist Manifesto
1142	6593	Henry Fielding	1749	The History of Tom Jones, a Foundling
1143	6602	Eugene Sue	1842	The Mysteries of Paris
1144	6626	Emile Zola	1867	Thérèse Raquin
1145	6683	P. G. Wodehouse	1914	The Little Nugget
1146	6684	P. G. Wodehouse	1916	Uneasy Money
1147	6686	Rabindranath Tagore	1997	The Gardener
1148	6686	Rabindranath Tagore	1913	The Gardener
1149	6687	Helena Pretrovna Blavatsky	1879	From the Caves and Jungles of Hindostan
1150	6688	George Eliot	1860	The Mill on the Floss
1151	6695	F. Scott Fitzgerald	1922	Tales of the Jazz Age
1152	6709	James De Mille	1888	A Strange Manuscript Found in a Copper Cylinder
1153	6711	Edward Mandell House	1912	Philip Dru: Administrator
1154	6742	Moliere	1661	The School for Husbands
1155	6753	P. G. Wodehouse	1910	Psmith in the City
1156	6759	Tobias Smollett	1753	The Adventures of Ferdinand Count Fathom
1157	6760	Tobias Smollett	1753	The Adventures of Ferdinand Count Fathom
1158	6761	Tobias Smollett	1753	The Adventures of Ferdinand Count Fathom
1159	6762	Aristotle	-400	Politics
1160	6762	Aristotle	2003	Politics
1161	6769	H. Rider Haggard	1894	The People of the Mist
1162	6824	R. D. Blackmore	1880	Mary Anerley
1163	6852	Ritter von Leopold Sacher-Masoch	1870	Venus in Furs
1164	6863	William Wood	1844	The Pencil of Nature
1165	6877	P. G. Wodehouse	1905	The Head of Kay's
1166	6879	P. G. Wodehouse	1904	The Gold Bat
1167	6880	P. G. Wodehouse	1920	The Coming of Bill
1168	6899	L. T. Meade	1922	Seven Pillars of Wisdom
1169	6900	Ivan Turgenev	1856	Rudin
1170	6902	Ivan Turgenev	1860	On the Eve
1171	6911	William George Jordan	1959	The Mansion
1172	6927	P. G. Wodehouse	1907	The White Feather
1173	6936	Mary Godolphin	1719	Robinson Crusoe
1174	6955	P. G. Wodehouse	1912	The Prince and Betty
1175	6979	Stphen Crane	1907	The Secret Agent
1176	6984	P. G. Wodehouse	1902	The Pothunters
1177	6985	P. G. Wodehouse	1903	A Prefect's Uncle
1178	7003	Sir Walter Scott	1816	The Antiquary
1179	7004	Sir Walter Scott	1816	The Antiquary
1180	7005	Sir Walter Scott	1816	The Antiquary
1181	7009	Molière	1670	Monsieur de Pourceaugnac
1182	7031	E. M. Hull	1919	The Sheik
1183	7042	Charles Kingsley	1841	Discipline
1184	7045	Sherwood Anderson	1917	Marching Men
1185	7052	Edward Bellamy	1880	Dr. Heidenhoff's Process
1186	7058	H. G. Wells	1903	Mankind in the Making
1187	7065	Henry Lawson	2011	Master of One Hundred Bones
1188	7082	William Godwin	1876	Lives of the Necromancers
1189	7085	Nathaniel Hawthorne	1828	Fanshawe
1190	7100	Mark Twain (Samuel Clemens)	1884	Adventures of Huckleberry Finn
1191	7100	Mark Twain (Samuel Clemens)	1885	Adventures of Huckleberry Finn
1192	7101	Mark Twain (Samuel Clemens)	1884	Adventures of Huckleberry Finn
1193	7101	Mark Twain (Samuel Clemens)	1885	Adventures of Huckleberry Finn
1194	7102	Mark Twain (Samuel Clemens)	1885	Adventures of Huckleberry Finn
1195	7102	Mark Twain (Samuel Clemens)	1884	Adventures of Huckleberry Finn
1196	7103	Mark Twain (Samuel Clemens)	1885	Adventures of Huckleberry Finn
1197	7103	Mark Twain (Samuel Clemens)	1884	Adventures of Huckleberry Finn
1198	7104	Mark Twain (Samuel Clemens)	1884	Adventures of Huckleberry Finn
1199	7104	Mark Twain (Samuel Clemens)	1885	Adventures of Huckleberry Finn
1200	7105	Mark Twain (Samuel Clemens)	1884	Adventures of Huckleberry Finn
1201	7105	Mark Twain (Samuel Clemens)	1885	Adventures of Huckleberry Finn
1202	7106	Mark Twain (Samuel Clemens)	1884	Adventures of Huckleberry Finn
1203	7106	Mark Twain (Samuel Clemens)	1885	Adventures of Huckleberry Finn
1204	7107	Mark Twain (Samuel Clemens)	1885	Adventures of Huckleberry Finn
1205	7107	Mark Twain (Samuel Clemens)	1884	Adventures of Huckleberry Finn
1206	7112	R. D. Blackmore	1877	Erema
1207	7118	Henry James	1897	What Maisie Knew
1208	7154	Mark Twain (Samuel Clemens)	1881	The Prince and the Pauper
1209	7155	Mark Twain (Samuel Clemens)	1881	The Prince and the Pauper
1210	7156	Mark Twain (Samuel Clemens)	1881	The Prince and the Pauper
1211	7157	Mark Twain (Samuel Clemens)	1881	The Prince and the Pauper
1212	7158	Mark Twain (Samuel Clemens)	1881	The Prince and the Pauper
