	bookNo	author	year	book
2164	32242	Nathaniel Hawthorne	1851	A Wonder-Book for Girls and Boys
2165	32256	Fritz Reuter Leiber	1958	The Big Time
2166	32270	John Blaine	1980	Metroland
2167	32271	Felix Dahn	1876	A Struggle for Rome
2168	32316	William E. Bentley	2002	The Story of Lucy Gault
2169	32330	Felix Dahn	1876	A Struggle for Rome
2170	32338	Victor Hugo	1866	Toilers of the Sea
2171	32359	Robert Moore Williams	1984	The Aquitaine Progression
2172	32377	Felix Dahn	1876	A Struggle for Rome
2173	32498	Alexander Blade	1827	The Betrothed
2174	32498	Alexander Blade	1825	The Betrothed
2175	32530	Philip Francis Nowlan	1928	Armageddon 2419 A.D.
2176	32540	John Muir	1911	My First Summer in the Sierra
2177	32547	William James	1912	Essays in Radical Empiricism
2178	32551	Charles V. De Vet	1859	On the Origin of Species
2179	32588	John Addington Symonds	1896	A Problem in Modern Ethics
2180	32596	Anatole France	1914	The Revolt of the Angels
2181	32610	Franz Habl	1925	The Trial
2182	32610	Franz Habl	1989	The Trial
2183	32610	Franz Habl	1987	The Trial
2184	32649	Henry James	1917	The Middle Years
2185	32652	William P. McGivern	2002	The Story of Lucy Gault
2186	32658	Stephen Bartholomew	2010	The Grand Design
2187	32697	Frank Quattrocchi	2008	The Swarm
2188	32697	Frank Quattrocchi	2016	The Swarm
2189	32697	Frank Quattrocchi	2004	The Swarm
2190	32706	Edward Elmer Smith	1934	Triplanetary
2191	32759	Robert E. Howard	1977	Red Nails
2192	32759	Robert E. Howard	1936	Red Nails
2193	32772	Rudyard Kipling	1910	Rewards and Fairies
2194	32795	Anna Katharine Green	2016	The Thousandth Floor
2195	32801	Alexander Blade	1825	The Betrothed
2196	32801	Alexander Blade	1827	The Betrothed
2197	32825	William R. Bradshaw	2002	The Story of Lucy Gault
2198	32888	William Walton	1897	Paris
2199	32888	William Walton	2013	Paris
2200	32939	Henry James	1901	The Sacred Fount
2201	32954	Robert Louis Stevenson	1879	Travels with a Donkey in the Cévennes
2202	33043	W. Riley	1912	Windyridge
2203	33048	Emily Grant Hutchings	1917	Jap Herron
2204	33065	William MacHarg	2002	The Story of Lucy Gault
2205	33111	Frederick Engels	1884	The Origin of the Family, Private Property and the State
2206	33121	Frank Aretas Haskell	2002	The Story of Lucy Gault
2207	33200	William Hard	2002	The Story of Lucy Gault
2208	33224	Charles Lyell	1830	Principles of Geology
2209	33299	Daniel P. Kidder	2002	The Kill Artist
2210	33325	Henry James	1897	The Spoils of Poynton
2211	33349	William Evans	2002	The Story of Lucy Gault
2212	33353	Herbert Jenkins	1918	Patricia Brent, Spinster
2213	33361	L. Frank Baum	1907	Ozma of Oz
2214	33374	Robert J. Sawyer	2008	Wake
2215	33375	Robert J. Sawyer	2010	Watch
2216	33425	Ralph Henry Barbour	1906	The Crimson Sweater
2217	33432	John Kendrick Bangs	1901	Mr. Munchausen
2218	33447	William Henry Fox Talbot	1844	The Pencil of Nature
2219	33478	John Pendleton Kennedy	1835	Horse-Shoe Robinson
2220	33505	William Butler Yeats	2002	The Story of Lucy Gault
2221	33516	Jules Verne	1298	Golden Legend
2222	33529	Howard Carleton Browne	1956	The Return of Tharn
2223	33549	Gabriel Tarde	1848	The Communist Manifesto
2224	33565	William Dana Orcutt	2002	The Story of Lucy Gault
2225	33673	John Ruskin	1842	The King of the Golden River
2226	33731	William McLennan	2002	The Story of Lucy Gault
2227	33800	Eugène Sue	1842	The Mysteries of Paris
2228	33801	Eugène Sue	1842	The Mysteries of Paris
2229	33802	Eugène Sue	1842	The Mysteries of Paris
2230	33803	Eugène Sue	1842	The Mysteries of Paris
2231	33804	Eugène Sue	1842	The Mysteries of Paris
2232	33805	Eugène Sue	1842	The Mysteries of Paris
2233	33836	R. C.  Dallas	1928	The Open Conspiracy
2234	33844	William S. Lyon	2002	The Story of Lucy Gault
2235	33886	Hermann Sudermann	1971	The Winds of War
2236	33897	William O. Stoddard	2002	The Story of Lucy Gault
2237	33901	J. M. Barrie	1902	The Little White Bird
2238	34000	Anthony Trollope	1863	Rachel Ray
2239	34053	William Painter	1890	The Palace of Pleasure
2240	34063	Eldred Nathaniel Woodcock	1913	Fifty Years a Hunter and Trapper
2241	34089	E. M. Forster	1911	The Celestial Omnibus
2242	34093	A. R. (Arthur Robert) Harding	1906	Mink Trapping
2243	34110	A. R. (Arthur Robert) Harding	1907	Deadfalls and Snares
2244	34193	Sydney George Fisher	1899	The True Benjamin Franklin
2245	34238	William Cobbett	1822	Rural Rides
2246	34278	William Le Queux	2002	The Story of Lucy Gault
2247	34339	George MacDonald	1872	The Princess and the Goblin
2248	34361	Hermann Sudermann	1908	The Song of Songs
2249	34366	Elisabeth von Arnim	1921	Vera
2250	34406	Alexander Berkman	1912	Prison Memoirs of an Anarchist
2251	34410	W. W. Tarn	1927	The Treasure of the Sierra Madre
2252	34414	Richmal Crompton	1922	Just William
2253	34477	Robert Mitchell Henry	2009	The Evolution of God
2254	34527	Cory Doctorow	2009	Makers
2255	34580	Max Stirner	1844	The Ego and Its Own
2256	34653	Maurice Leblanc	1920	The Three Eyes
2257	34697	James Arthur Kjelgaard	1978	The Last Good Kiss
2258	34725	Louis Couperus	1900	The Hidden Force
2259	34740	Edward Step	1895	Wayside and woodland blossoms
2260	34758	Maurice Leblanc	1910	813
2261	34791	Hermann Sudermann	1908	The Song of Songs
2262	34795	Maurice Leblanc	1918	The Golden Triangle
2263	34808	Jean Rudolph Wyss	1812	The Swiss Family Robinson
2264	34840	William Painter	1890	The Palace of Pleasure
2265	34858	George Meredith	1859	The Ordeal of Richard Feverel
2266	34884	Charles James Lever	1859	On the Origin of Species
2267	34901	John Stuart Mill	1859	On Liberty
2268	34901	John Stuart Mill	2014	On Liberty
2269	34912	John Augustine Zahm	1913	Woman in Science
2270	34916	J. Fenimore Cooper	1845	The Chainbearer
2271	34959	F. Marion Crawford	1891	Khaled: A Tale of Arabia
2272	34970	Herman Melville	1852	Pierre: or, The Ambiguities
2273	35022	Carolyn Wells	1956	The Diamond Bikini
2274	35072	Elizabeth von Arnim	1920	In the Mountains
2275	35091	Francis Hackett	1987	The Trial
2276	35091	Francis Hackett	1925	The Trial
2277	35091	Francis Hackett	1989	The Trial
2278	35155	Alessandro Manzoni	1827	The Betrothed
2279	35155	Alessandro Manzoni	1825	The Betrothed
2280	35164	A. P. Herbert	1919	The Secret Battle
2281	35187	Kenneth Grahame	1898	Dream days
2282	35279	Albert Mordell	1954	The Literature of Australian Birds
2283	35505	Arnold Bennett	1902	Anna of the Five Towns
2284	35514	James E. Talmage	1909	The Great Apostasy
2285	35517	Arthur Machen	1895	The Three Impostors
2286	35555	Rudyard Kipling	1901	Kim
2287	35587	Mayne Reid	1865	The Headless Horseman
2288	35607	William Dana Orcutt	2002	The Story of Lucy Gault
2289	35614	J. U. Giesy	1918	Palos of the Dog Star Pack
2290	35638	Maria Edgeworth	1806	Leonora
2291	35667	William Carlos Williams	1921	Sour Grapes
2292	35683	John Cameron	1908	Association Football and How to Play It
2293	35770	Elaine Wilber	2002	The Story of Lucy Gault
2294	35781	Hall Caine	1887	The Deemster
2295	35809	William Wilson Hunter	2002	The Story of Lucy Gault
2296	35833	Johnston McCulley	2005	The Black Angel
2297	35877	Sigmund Freud	1921	Group Psychology and the Analysis of the Ego
2298	35895	Paul Carus	1894	The Gospel of Buddha
2299	35898	John Ruskin	1849	The Seven Lamps of Architecture
2300	36028	Thomas Mann	1909	Royal Highness
2301	36080	Angela Brazil	1827	The Betrothed
2302	36080	Angela Brazil	1825	The Betrothed
2303	36127	Sabine Baring-Gould	1866	Curious Myths of the Middle Ages
2304	36127	Sabine Baring-Gould	1869	Curious Myths of the Middle Ages
2305	36132	Maria Edgeworth	1796	The Parent's Assistant
2306	36152	Gail Hamilton	1996	Neverwhere
2307	36155	William Le Queux	1959	The Mansion
2308	36198	Herman Whitaker	1902	The Mystery of the Sea
2309	36247	William Hamilton Osborne	2002	The Story of Lucy Gault
2310	36288	William Whewell	2002	The Story of Lucy Gault
2311	36419	William Charles Scully	2002	The Story of Lucy Gault
2312	36432	Robert W. Bruere	1953	The Coming of Conan
2313	36450	James J. Walsh	1909	Psychotherapy
2314	36481	W. Harrison Ainsworth	1844	Auriol
2315	36483	Johann Wolfgang von Goethe	1795	Wilhelm Meister's Apprenticeship
2316	36494	E. T. A. Hoffmann	1815	The Devil's Elixirs
2317	36520	Charles Darwin	1871	The Descent of Man, and Selection in Relation to Sex
2318	36548	Frederick Henry Ambrose Scrivener	1861	A Plain Introduction to the Criticism of the New Testament
2319	36549	Frederick Henry Ambrose Scrivener	1861	A Plain Introduction to the Criticism of the New Testament
2320	36561	Frances Trollope	1839	The Widow Barnaby
2321	36562	Frances Trollope	1839	The Widow Barnaby
2322	36563	Frances Trollope	1839	The Widow Barnaby
2323	36568	Mikhail Aleksandrovich Bakunin	1882	God and the State
2324	36570	John Burgoyne	2009	The Lovers
2325	36570	John Burgoyne	1961	The Lovers
2326	36583	Henryk Sienkiewicz	1876	Hania
2327	36612	George MacDonald	1883	The Princess and Curdie
2328	36650	William T. Smedley	2002	The Story of Lucy Gault
2329	36686	Mrs [Frances] Trollope	1837	The Vicar of Wrexhill
2330	36840	R. J. Campbell	1960	The Making of Man
2331	36951	Percy FitzPatrick	1907	Jock of the Bushveld
2332	37005	E. T. A. Hoffmann	1815	The Devil's Elixirs
2333	37027	Henryk Sienkiewicz	1884	With Fire and Sword
2334	37091	Rudyard Kipling	1909	A Song of the English
2335	37106	Louisa M. Alcott	1868	Little Women
2336	37126	Emma Marshall	1893	Salome
2337	37134	William Strunk	2002	The Story of Lucy Gault
2338	37153	Lytton Strachey	1921	Queen Victoria
2339	37164	Stephen McKenna	1978	The Stand
2340	37172	Joseph Sheridan Le Fanu	1872	In a Glass Darkly
2341	37173	Joseph Sheridan Le Fanu	1872	In a Glass Darkly
2342	37174	Joseph Sheridan Le Fanu	1872	In a Glass Darkly
2343	37189	Rebecca West	1918	The Return of the Soldier
2344	37206	D. H. Lawrence	1921	Sea and Sardinia
2345	37364	Rudyard Kipling	1895	The Second Jungle Book
2346	37406	Henryk Sienkiewicz	1906	On the Field of Glory
2347	37408	Theodore Lothrop Stoddard	1920	The Rising Tide of Color Against White World-Supremacy
2348	37470	William Le Queux	1894	The Great War in England in 1897
2349	37481	Emmuska Orczy, Baroness Orczy	1907	The Tangled Skein
2350	37581	Charles Dickens	1845	The Cricket on the Hearth
2351	37665	George Borrow	1862	Wild Wales
2352	37712	Sir Arthur Conan Doyle	1909	The Crime of the Congo
2353	37735	Neltje Blanchan	1897	Bird Neighbors
2354	37976	L. Frank Baum	1901	Dot and Tot of Merryland
2355	37992	Daniel Defoe	2002	The Kill Artist
2356	38011	Lewis Morris	1937	The Ace of Knaves
2357	38145	Friedrich Nietzsche	1878	Human, All Too Human
2358	38230	Thomas Moore	1794	The Age of Reason
2359	38230	Thomas Moore	1795	The Age of Reason
2360	38230	Thomas Moore	1945	The Age of Reason
2361	38230	Thomas Moore	1807	The Age of Reason
2362	38413	Israel Zangwill	1894	The King of Schnorrers
2363	38424	Henry James	1914	Notes of a Son and Brother
2364	38510	Mary Brunton	1841	Discipline
2365	38567	Louisa May Alcott	1875	Eight Cousins
2366	38655	William Roscher	2002	The Story of Lucy Gault
2367	38703	Georgette Heyer	1921	The Black Moth
2368	38741	John Wilson	1993	The Law of Peoples
2369	38753	Reginald Wright Kauffman	1973	Ruling Passion
2370	38889	Theodore F. Wolfe	1956	I, Libertine
2371	38895	Charles Reade	1845	The Cricket on the Hearth
2372	38923	John Ruskin	1860	Modern Painters
2373	38981	Jacques Futrelle	1908	The Chase of the Golden Meteor
2374	39143	William Somerset Maugham	2002	The Story of Lucy Gault
2375	39159	L. Frank Baum	1912	Sky Island
2376	39162	H. G. Wells	1905	Kipps
2377	39185	Charles Gilson	1992	Brother to Dragons
2378	39229	H. Bedford-Jones	1921	The Mardi Gras Mystery
2379	39229	H. Bedford-Jones	1988	The Mardi Gras Mystery
2380	39252	Robert Hichens	1954	The Star Beast
2381	39270	Laurence Sterne	1759	The Life and Opinions of Tristram Shandy, Gentleman
2382	39272	Thomas Commerford Martin	1893	The Inventions, Researches, and Writings of Nikola Tesla
2383	39296	Stanley J. Weyman	1891	The Story of Francis Cludde
2384	39373	Andrew Gray	1993	Golden Trillium
2385	39378	Aldous Huxley	1921	Mortal Coils
2386	39397	Théophile Gautier	1882	One of Cleopatra's Nights and Other Fantastic Romances
2387	39399	Charles Gilson	1859	On the Origin of Species
2388	39452	John Bunyan	1678	The Pilgrim's Progress
2389	39548	Oscar Micheaux	1888	The Torture Garden
2390	39549	Mrs. Molesworth	1895	The Carved Lions
2391	39666	Guy Thorne	1904	When It Was Dark
2392	39670	Frederick Bateman	1869	The Idiot
2393	39752	T. Crofton Crocker	1828	Fairy Legends and Traditions of the South of Ireland
2394	39752	T. Crofton Crocker	1825	Fairy Legends and Traditions of the South of Ireland
2395	39755	Daniel Stephen O'Connor	1996	The Story of B
2396	39817	Richard Garnett	2008	The Age of Wonder
2397	39827	Ralph Waldo Emerson	1860	The Conduct of Life
2398	39834	Grazia Deledda	1902	After the divorce
2399	39858	George Du Maurier	1894	Trilby
2400	39868	L. Frank Baum	1920	Glinda of Oz
2401	39891	Max Pemberton	1899	Jewel Mysteries I have Known
2402	39910	Philip Henry Gosse	1857	Omphalos
2403	39952	William Harvey Miner	1957	The Town
2404	39952	William Harvey Miner	1950	The Town
2405	39972	Harriet Beecher Stowe	1873	Palmetto Leaves
2406	40000	Walter Rothschild	1907	Extinct Birds
2407	40089	John Dewey	1919	Reconstruction in Philosophy
2408	40140	Flora Annie Steel	1896	On the Face of the Waters
2409	40175	Willis Eugene Tower	2002	The Story of Lucy Gault
2410	40264	Clemence Dane	1917	Regiment of Women
2411	40365	Errico Malatesta	1891	Anarchy
2412	40367	Edith Wharton	1897	The Decoration of Houses
2413	40404	William Harmon Norton	2002	The Story of Lucy Gault
2414	40426	Jean Webster	1912	Daddy-Long-Legs
2415	40434	William Le Queux	1983	The Place of Dead Roads
2416	40477	Samuel H. M. Byers	1884	With Fire and Sword
2417	40497	William Francis Hooker	2002	The Story of Lucy Gault
2418	40573	Evelyn Sharp	1900	The Other Side of the Sun
2419	40591	Charles A. Conant	1843	A Christmas Carol
2420	40619	Fanny Burney	1796	Camilla
2421	40646	Charles E. Chapman	1859	On the Origin of Species
2422	40652	Ebenezer Cobham Brewer	1840	A Guide to the Scientific Knowledge of Things Familiar
2423	40667	Cleo Garis	1867	The Mystery of Orcival
2424	40701	Shirley Hibberd	1856	The book of the aquarium and water cabinet
2425	40723	Charles Dickens	1846	The Battle of Life
2426	40812	Thomas Wilson	1920	The Cask
2427	40814	Fanny Fern	1854	Ruth Hall
2428	40824	Charles J. Gillis	1843	A Christmas Carol
2429	40826	William McDougall	1957	The Town
2430	40826	William McDougall	1950	The Town
2431	40828	William Le Queux	2002	The Story of Lucy Gault
2432	40833	William Le Queux	2002	The Story of Lucy Gault
2433	40836	William Le Queux	2002	The Story of Lucy Gault
2434	40847	William James Lloyd Wharton	2002	The Story of Lucy Gault
2435	40882	George Eliot	1866	Felix Holt, the Radical
2436	40998	William Le Queux	2002	The Story of Lucy Gault
2437	41003	William Le Queux	2002	The Story of Lucy Gault
2438	41061	William B Stephenson, Jr.	2002	The Story of Lucy Gault
2439	41078	William Le Queux	2002	The Story of Lucy Gault
2440	41082	James George Frazer	1890	The Golden Bough
2441	41089	William Le Queux	2002	The Story of Lucy Gault
2442	41091	William Le Queux	2002	The Story of Lucy Gault
2443	41127	Louisa May Alcott	1876	Rose in Bloom
2444	41129	William Le Queux	2002	The Story of Lucy Gault
2445	41130	William Le Queux	2002	The Story of Lucy Gault
2446	41132	William Le Queux	2002	The Story of Lucy Gault
2447	41134	William C. Falkner	2002	The Story of Lucy Gault
2448	41185	William Le Queux	2002	The Story of Lucy Gault
2449	41187	William Le Queux	2002	The Story of Lucy Gault
2450	41199	William Le Queux	2002	The Story of Lucy Gault
2451	41201	Iván Turgénieff	1850	The Diary of a Superfluous Man
2452	41214	Sigmund Freud	1913	Totem and Taboo
2453	41222	Alexandre Dumas, Pere	1839	Captain Pamphile
2454	41232	Anzia Yezierska	1920	Hungry Hearts
2455	41247	Samuel Warren	1841	Ten Thousand a-Year
2456	41256	Mary Hays	1796	Memoirs of Emma Courtney
2457	41332	Samuel Warren	1841	Ten Thousand a-Year
2458	41359	James George Frazer	1890	The Golden Bough
2459	41393	William Carew Hazlitt	1959	The Mansion
2460	41405	Rosa Luxemburg	1913	The Accumulation of Capital
2461	41414	Selma Lagerlöf	1908	The Girl from the Marsh Croft
2462	41438	Anthony Hope	1896	The Heart of Princess Osra
2463	41445	Mary Shelley	1818	Frankenstein
2464	41453	William Le Queux	1959	The Mansion
2465	41454	William Le Queux	1959	The Mansion
2466	41455	William Le Queux	1929	The Sound and the Fury
2467	41458	William Le Queux	2002	The Story of Lucy Gault
2468	41459	William Le Queux	2002	The Story of Lucy Gault
2469	41510	William Walker Atkinson	2002	The Story of Lucy Gault
2470	41518	Robert Walser	1891	The Bottle Imp
2471	41526	Amanda Minnie Douglas	1909	A Little Girl in Old Pittsburg
2472	41637	Murray Leinster	1954	The Forgotten Planet
2473	41646	Charlotte Turner Smith	1980	Emmeline
2474	41646	Charlotte Turner Smith	1788	Emmeline
2475	41659	Johann David Wyss	1812	The Swiss Family Robinson
2476	41667	L. Frank Baum	1910	The Emerald City of Oz
2477	41714	C.M. Kornbluth	1953	The Syndic
2478	41739	C. Z. Barnett	1843	A Christmas Carol
2479	41844	George Gibbs	1890	The Golden Bough
2480	41855	Edith Wharton	1918	The Marne
2481	41873	William W. Sanger	2002	The Story of Lucy Gault
2482	41875		2004	The Yellow Silk
2483	41876		2004	The Yellow Silk
2484	41881	Alexandre Dumas	1845	The Corsican Brothers
2485	41905	Samuel R. Delany	1963	Captives of the Flame
2486	41910	Alexander Clarence Flick	1963	The Race of the Tiger
2487	41981	Samuel R. Delany	1962	The Jewels of Aptor
2488	41988	Henryk Sienkiewicz	1892	Let Us Follow Him
2489	41997	James Otis	2006	The Jesus Dynasty
2490	42129	William Lewins	2002	The Story of Lucy Gault
2491	42145	Susanna Moodie	1825	The Betrothed
2492	42145	Susanna Moodie	1827	The Betrothed
2493	42165	Susanna Moodie	1825	The Betrothed
2494	42165	Susanna Moodie	1827	The Betrothed
2495	42174	Susanna Moodie	1827	The Betrothed
2496	42174	Susanna Moodie	1825	The Betrothed
2497	42183	Robert E. Howard	1978	Queen of the Black Coast
2498	42209	Robert E. Howard	1976	The Devil in Iron
2499	42236	Robert E. Howard	1979	Jewels of Gwahlur
2500	42243	Robert E. Howard	1935	The Hour of the Dragon
2501	42259	Robert E. Howard	1934	The People of the Black Circle
2502	42259	Robert E. Howard	1977	The People of the Black Circle
2503	42315	Jefferson Davis	1881	The Rise and Fall of the Confederate Government
2504	42324	Mary W. Shelley	1818	Frankenstein
2505	42332	Marie Corelli	1895	The Sorrows of Satan
2506	42389	Sir Walter Scott	1822	The Pirate
2507	42401	William Beckford	1786	Vathek
2508	42426	E. Marlitt	1866	Goldelse
2509	42441	Clarence E. Mulford	1913	The Coming of Cassidy
2510	42455	Bram Stoker	1902	The Mystery of the Sea
2511	42500	Henry David Thoreau	1864	The Maine Woods
2512	42529	R. D. Blackmore	1897	Dariel
2513	42566	William Theodore Parkes	2002	The Story of Lucy Gault
2514	42671	Jane Austen	1813	Pride and Prejudice
2515	42681	Alexandre Dumas	1825	The Betrothed
2516	42681	Alexandre Dumas	1827	The Betrothed
2517	42704	Oscar Wilde	1893	Salome
2518	42715	August Mau	1899	Pompeii: Its Life and Art
2519	42757	Alexandre Dumas (pere)	1853	The Countess of Charny
2520	42768	Jean Webster	1909	Much Ado about Peter
2521	42880	Will Durant	1935	Pylon
2522	42901	Murray Leinster	1961	Creatures of the Abyss
2523	42914	Philip Wylie	1930	Gladiator
2524	42978	William S. Furneaux	2002	The Story of Lucy Gault
2525	42991	Edgar Thurston	1909	Castes and Tribes of Southern India
2526	42992	Edgar Thurston	1909	Castes and Tribes of Southern India
2527	42993	Edgar Thurston	1909	Castes and Tribes of Southern India
2528	42994	Edgar Thurston	1909	Castes and Tribes of Southern India
2529	42995	Edgar Thurston	1909	Castes and Tribes of Southern India
2530	42996	Edgar Thurston	1909	Castes and Tribes of Southern India
2531	42997	Edgar Thurston	1909	Castes and Tribes of Southern India
2532	43031	George Fox	2013	George North
2533	43247	William Cleaver Wilkinson	2002	The Story of Lucy Gault
2534	43269	James H. Foster	2006	The Jesus Dynasty
2535	43325	Silas Kitto Hocking	1879	Her Benny
2536	43376	Henry L. Mencken	1919	The American Language
2537	43406	Helen Hay Whitney	1925	Herbs and Apples
2538	43469	William Dean Howells	1877	A Counterfeit Presentment
2539	43523	Henry David Thoreau	1899	The writings of Henry David Thoreau
2540	43627	Songling Pu	1766	Strange Stories from a Chinese Studio
2541	43628	Songling Pu	1766	Strange Stories from a Chinese Studio
2542	43629	Songling Pu	1766	Strange Stories from a Chinese Studio
2543	43678	Sir Walter Scott	1829	Anne of Geierstein
2544	43711	Herbert A. Giles	1901	A History of Chinese Literature
2545	43769	Amanda M. Douglas	1909	A Little Girl in Old Pittsburg
2546	43936	L. Frank Baum	1900	The Wonderful Wizard of Oz
2547	43968	William Gershom Collingwood	2002	The Story of Lucy Gault
2548	44043	William H. Brereton	2002	The Story of Lucy Gault
2549	44046	Stephen Lucius Gwynn	1886	Misery
2550	44046	Stephen Lucius Gwynn	1987	Misery
2551	44063	Douglas Dewar	1982	Life, the Universe and Everything
2552	44073	Levi H. Dowling	1908	The Aquarian Gospel of Jesus the Christ
2553	44074	Owen Gregory	1918	Meccania
2554	44192	Peter Berlyn	2012	The Party Journalist
2555	44225	Irvin S. Cobb	1931	The Joy of Cooking
2556	44247	Walter Scott	1829	Anne of Geierstein
2557	44337	William Gilmore Simms	2002	The Story of Lucy Gault
2558	44371	William Henry Thorpe	2002	The Story of Lucy Gault
2559	44547	Thomas Nelson Page	1922	Seven Pillars of Wisdom
2560	44590	William Clark Russell	2002	The Story of Lucy Gault
2561	44649	H. Rider Haggard	1899	The Last Boer War
2562	44747	Stendhal	1830	The Red and the Black
2563	44800	Frédéric Bastiat	1957	The Law
2564	44800	Frédéric Bastiat	1850	The Law
2565	44853	Charles DeLano Hine	1904	Letters From an Old Railway Official
2566	44881	Philip Meadows Taylor	1839	Confessions of a Thug
2567	44941	John Taylor	2009	The Lovers
2568	44941	John Taylor	1961	The Lovers
2569	45001	John Calvin	1536	Institutes of the Christian Religion
2570	45038	R. D. Blackmore	1894	Perlycross
2571	45045	Amanda M. Douglas	1909	A Little Girl in Old Pittsburg
2572	45149	James E. Talmage	1912	The House of the Lord
2573	45209	John Marston	1929	The Courts of the Morning
2574	45228	Frank Wedekind	1903	Such Is Life
2575	45264	Beatrix Potter	1904	The Tale of Two Bad Mice
2576	45315	William Blake	1790	The Marriage of Heaven and Hell
2577	45422	Albert Schweitzer	1906	The Quest of the Historical Jesus
2578	45444	Charles DeLano Hine	1904	Letters From an Old Railway Official
2579	45466	Émile Verhaeren	1870	Around the Moon
2580	45480	William Ross Wallace	2002	The Story of Lucy Gault
2581	45502	Jacob A. Riis	1890	How the Other Half Lives
2582	45506	Edwin Abbott Abbott	1884	Flatland
2583	45540	Arthur Drews	1909	The Christ Myth
2584	45631	Solomon Northup	1853	Twelve Years a Slave
2585	45666	Lucas Malet	1868	Little Women
2586	45699	Frederic L. (Frederic Logan) Paxson	1910	The last American frontier
2587	45839	Bram Stoker	1897	Dracula
2588	45850	Robert Flint	1879	Travels with a Donkey in the Cévennes
2589	45921	William Makepeace Thackeray	2002	The Story of Lucy Gault
2590	45939	Thomas Percy	1765	Reliques of Ancient English Poetry
2591	45940	Thomas Percy	1765	Reliques of Ancient English Poetry
2592	45941	Thomas Percy	1765	Reliques of Ancient English Poetry
2593	45950	Lewis Henry Morgan	1877	Ancient Society
2594	45951	Julian Corbett	1980	Metroland
2595	45988	Francis Bacon	1620	Novum Organum
2596	46112	L	2008	The Dark Forest
2597	46114	Lord Max Aitken Beaverbrook	1916	Canada in Flanders
2598	46121	Rose Wilder Lane	1917	Henry Ford’s Own Story
2599	46153	Charles Felix	1862	The Notting Hill Mystery
2600	46236	William Le Queux	2002	The Story of Lucy Gault
2601	46311	John Marston	1929	The Courts of the Morning
2602	46312	John Marston	1929	The Courts of the Morning
2603	46333	Jean-Jacques Rousseau	1970	The Social Contract
2604	46333	Jean-Jacques Rousseau	1999	The Social Contract
2605	46333	Jean-Jacques Rousseau	1763	The Social Contract
2606	46333	Jean-Jacques Rousseau	1762	The Social Contract
2607	46392	Edward Lear	1832	Illustrations of the Family of the Psittacidae, or Parrots
2608	46399	Hendrik Van Loon	1921	The Story of Mankind
2609	46409	Johanna Spyri	1880	Heidi
2610	46420	John Baldwin Buckstone	1667	Paradise Lost
2611	46492	Dmitri Mérejkowski	1895	The Death of the Gods
2612	46566	William Holt-White	2002	The Story of Lucy Gault
2613	46570	Jane Porter	1817	The Pastor's Fireside
2614	46597	Jules Verne	1868	In Search of the Castaways
2615	46610	Jane Porter	1817	The Pastor's Fireside
2616	46637	Jane Porter	1817	The Pastor's Fireside
2617	46674	Owen Johnson	1912	Stover at Yale
2618	46697	Jane Porter	1817	The Pastor's Fireside
2619	46727	Roswell Park	1897	An Epitome of the History of Medicine
2620	46743	Henry Sidgwick	1874	The Methods of Ethics
2621	46761	Jean Webster	1905	The Wheat Princess
2622	46807	William Denison Lyman	1918	Lyman's History of old Walla Walla County
2623	46808	William Denison Lyman	1918	Lyman's History of old Walla Walla County
2624	46853	Thomas Malory	1485	Le Morte d'Arthur
2625	46948	Richard K. Fox	1995	The Hot Zone
2626	47025	Ludwig Feuerbach	1841	The Essence of Christianity
2627	47166	L. Frank Baum	1906	John Dough and the Cherub
2628	47252	Elizabeth Gordon	1914	Mother Earth's Children
2629	47314	William Jackson	1844	The Pencil of Nature
2630	47334	Robert Vaughn	1879	Travels with a Donkey in the Cévennes
2631	47342	Ernest Vincent Wright	1939	Gadsby
2632	47356	W. E. Gladstone	1858	Studies on Homer and the Homeric Age
2633	47430	Maturin Murray Ballou	1844	Fanny Campbell, the Female Pirate Captain
2634	47462	William Habington	2003	Sanctuary
2635	47462	William Habington	1931	Sanctuary
2636	47462	William Habington	1995	Sanctuary
2637	47463	William Miller	1879	Wintering in the Riviera
2638	47470	W. Somerset Maugham	1902	Mrs Craddock
2639	47532	William Henry Withrow	2002	The Story of Lucy Gault
2640	47576	William Dixon Bell	2002	The Story of Lucy Gault
2641	47682	Charles Dexter Allen	1842	American Notes
2642	47837	John Bate	1634	The Mysteryes of Nature and Art
2643	47874	Harriet Beecher Stowe	1871	My Wife and I
2644	47902	Dmitry Sergeyevich Merezhkovsky	1900	The Romance of Leonardo da Vinci
2645	47905	Julian Hawthorne	1980	Metroland
2646	47935	Ivan Sergeevich Turgenev	1862	Fathers and Sons
2647	47944	Douglas Sladen	1982	Life, the Universe and Everything
2648	47958	Harriet Beecher Stowe	1859	The Minister's Wooing
2649	47970	George Vivian Poore	1860	The Mill on the Floss
2650	47971	Margaret Armstrong	1915	Field book of western wild flowers
2651	47980	Benito Pérez Galdós	1873	Trafalgar
2652	48089	Thomas Dixon	1916	The Fall of a Nation
2653	48169	Richard Wilson	1995	The Hot Zone
2654	48217	Maurice Maeterlinck	1896	The Treasure of the Humble
2655	48309	William Cleaver Wilkinson	2002	The Story of Lucy Gault
2656	48507	Sabine Baring-Gould	1908	Devonshire Characters and Strange Events
2657	48539	James Cutbush	1958	A Case of Conscience
2658	48602	Ella S. Armitage	1912	The Early Norman Castles of the British Isles
